epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1294.43,0.70304,1.5768,1.03133,0.92617,0.83015,0.90231,0.7331,0.72298,1.59563,1.0412,8.66473e-05,8.66473e-05,8.66473e-05
2,3772.44,0.70525,1.55348,1.01855,0.84972,0.7975,0.86076,0.70897,0.71053,1.58668,1.04198,0.000157057,0.000157057,0.000157057
3,5383.45,0.73446,1.51777,1.03395,0.88268,0.76627,0.82858,0.6814,0.72489,1.53018,1.03774,0.000210108,0.000210108,0.000210108
4,7550.56,0.72508,1.4385,1.02635,0.83641,0.82815,0.85763,0.69946,0.72158,1.5351,1.03084,0.000184889,0.000184889,0.000184889
5,9844.74,0.69057,1.33521,1.01995,0.86613,0.87844,0.91436,0.74732,0.70406,1.40354,1.03048,0.000158852,0.000158852,0.000158852
6,12142.9,0.6652,1.24691,1.00444,0.90166,0.81069,0.84563,0.68749,0.72889,1.36344,1.04478,0.000132815,0.000132815,0.000132815
7,14397.6,0.6677,1.18915,0.99649,0.82349,0.70421,0.723,0.59379,0.69883,1.3136,1.01902,0.000106778,0.000106778,0.000106778
8,16578.8,0.64842,1.16084,0.9863,0.88717,0.72634,0.7564,0.61646,0.69924,1.23846,1.02919,8.0741e-05,8.0741e-05,8.0741e-05
9,18348.1,0.64495,1.11322,0.9798,0.90888,0.79035,0.8236,0.67477,0.69265,1.19367,1.02194,5.4704e-05,5.4704e-05,5.4704e-05
10,19098.5,0.63627,1.07486,0.97108,0.91375,0.8827,0.93041,0.77294,0.67746,1.16181,1.01182,2.8667e-05,2.8667e-05,2.8667e-05
